MATRIZ DE TRAZABILIDAD BIDIRECCIONAL — SICM / MEDICITA;;;;;;;;;;;
Base: ERS_v1.1 del SICM. Matriz bidireccional vinculada al backlog Jira SGICM (89 elementos exportados).;;;;;;;;;;;
Los casos de prueba se encuentran definidos en “Catalogo_pruebas”. “No aplica” y “No requiere interfaz” siempre incluyen una razón. Los elementos pendientes no se presentan como existentes.;;;;;;;;;;;
;;;;;;;;;;;
Fila;Requisito;Fuente;Caso de uso;Historia;Criterio;Diseño;Mockup;Prueba;Estado;Objetivo;Issue Jira
1;RF-01;EV-01;CU-02;US-06;CA-01 a CA-03;COMP-MedicoGeneral;MU-03;CP-RF-01;Revisar: RFC-02 por fusión inconsistente;Digitalizar y consultar historia clínica;https://medicita1.atlassian.net/browse/SGICM-10
2;RF-02;EV-01 / EV-02;CU-01;US-01;CA-01 a CA-04;COMP-Paciente;"No disponible: resolver RFC-01; el mockup referido no fue verificado";CP-RF-02;Revisar: RFC-01 por mockup no verificado;Agendar citas;https://medicita1.atlassian.net/browse/SGICM-11
3;RF-03;EV-01;CU-02;US-02;CA-01 a CA-04;COMP-MedicoGeneral;MU-04;CP-RF-03;"Trazado; prueba diseñada, no ejecutada";Buscar pacientes;https://medicita1.atlassian.net/browse/SGICM-12
4;RF-04;EV-01;CU-03;US-03;CA-01 a CA-04;COMP-MedicoGeneral;MU-05;CP-RF-04;"Trazado; prueba diseñada, no ejecutada";Emitir recetas;https://medicita1.atlassian.net/browse/SGICM-13
5;RF-05;EV-01;CU-02;US-05;CA-01 a CA-04;COMP-MedicoGeneral;MU-03;CP-RF-05;"Trazado; prueba diseñada, no ejecutada";Actualizar historial clínico;https://medicita1.atlassian.net/browse/SGICM-14
6;RF-06;EV-01;CU-04;US-04;CA-01 a CA-04;COMP-Paciente;MU-29;CP-RF-06;"Trazado; prueba diseñada, no ejecutada";Cancelar citas;https://medicita1.atlassian.net/browse/SGICM-15
7;RF-07;EV-04;CU-05;US-19;CA-01 a CA-03;COMP-MedicoGeneral;MU-06 / MU-15;CP-RF-07;"Trazado; prueba diseñada, no ejecutada";Compartir información entre áreas;https://medicita1.atlassian.net/browse/SGICM-16
8;RF-08;EV-01;CU-05;US-06;CA-01 a CA-03;COMP-MedicoGeneral;MU-07;CP-RF-08;"Trazado; prueba diseñada, no ejecutada";Generar reportes de atención;https://medicita1.atlassian.net/browse/SGICM-17
9;RF-09;CU-12 / EV-01;CU-12 / CU-32 / CU-33;US-07 / US-31 / US-32;CA-01 a CA-03;COMP-Login;MU-01;CP-RF-09;"Trazado; prueba diseñada, no ejecutada";Autenticar, recuperar contraseña y cerrar sesión;https://medicita1.atlassian.net/browse/SGICM-18
10;RF-10;EV-04 / CU-13;CU-13 / CU-31;US-08 / US-30;CA-01 a CA-03;COMP-Login;MU-01;CP-RF-10;"Trazado; prueba diseñada, no ejecutada";Gestionar permisos y cuentas;https://medicita1.atlassian.net/browse/SGICM-19
11;RF-11;EV-02;CU-14;US-01;CA-01 a CA-04;COMP-Paciente;"No disponible: resolver RFC-01; el mockup referido no fue verificado";CP-RF-11;Revisar: RFC-01 por mockup no verificado;Notificar automáticamente;https://medicita1.atlassian.net/browse/SGICM-20
12;RF-12;EV-04;CU-15;US-09;CA-01 a CA-03;Servicio de auditoría;No requiere interfaz: servicio interno consultado desde auditoría;CP-RF-12;"Trazado; prueba diseñada, no ejecutada";Auditar acciones;https://medicita1.atlassian.net/browse/SGICM-21
13;RF-13;EV-01 / CU-01;CU-01;US-01;CA-01 a CA-04;COMP-Odontologia;MU-09;CP-RF-13;"Trazado; prueba diseñada, no ejecutada";Consultar disponibilidad horaria;https://medicita1.atlassian.net/browse/SGICM-22
14;RF-14;EV-01;CU-22;US-05;CA-01 a CA-04;COMP-MedicoGeneral;MU-03;CP-RF-14;Revisar: RFC-02 por fusión inconsistente;Digitalizar documentación clínica;https://medicita1.atlassian.net/browse/SGICM-23
15;RF-15;CU Gestionar Inventario / EV-Enf-01;CU-29;US-33;CA-01 a CA-02;COMP-Enfermeria;MU-19;CP-RF-15;Revisar: RFC-02 por fusión inconsistente;Gestionar inventario;https://medicita1.atlassian.net/browse/SGICM-24
16;RF-16;EV-01;Flujo documentado en RF-16;Específico de RF-16;Criterios de RF-16;COMP-Paciente;"No disponible: resolver RFC-01; el mockup referido no fue verificado";CP-RF-16;Revisar: RFC-01 por mockup no verificado;Asistente virtual con IA;https://medicita1.atlassian.net/browse/SGICM-25
17;RF-17;EV-01;CU-16;US-10;CA-01 a CA-03;COMP-MedicoGeneral;MU-07;CP-RF-17;"Trazado; prueba diseñada, no ejecutada";Gestionar perfil del personal médico;https://medicita1.atlassian.net/browse/SGICM-26
18;RF-18;EV-01;CU-17;US-11;CA-01 a CA-03;COMP-MedicoGeneral;MU-07;CP-RF-18;Revisar: RFC-02 por fusión inconsistente;Asignar turnos del personal médico;https://medicita1.atlassian.net/browse/SGICM-27
19;RF-19;EV-01;CU-17;US-12;CA-01 a CA-03;COMP-MedicoGeneral;MU-07;CP-RF-19;Revisar: RFC-02 por fusión inconsistente;Consultar disponibilidad del personal;https://medicita1.atlassian.net/browse/SGICM-28
20;RF-20;EV-01;CU-17;US-11;CA-01 a CA-03;COMP-MedicoGeneral;MU-07;CP-RF-20;"Trazado; prueba diseñada, no ejecutada";Reasignar turnos ante ausencias;https://medicita1.atlassian.net/browse/SGICM-29
21;RF-21;Requisito normativo SRI;CU-18;US-13;CA-01 a CA-03;Módulo de Recepción (CU-07/CU-08);MU-17;CP-RF-21;"Trazado; prueba diseñada, no ejecutada";Emitir comprobantes electrónicos;https://medicita1.atlassian.net/browse/SGICM-30
22;RF-22;EV-Enf-01;CU-19;US-14;CA-01 a CA-03;Módulo de Recepción (CU-07/CU-08);MU-17;CP-RF-22;Revisar: RFC-02 por fusión inconsistente;Registrar pagos;https://medicita1.atlassian.net/browse/SGICM-31
23;RF-23;EV-Enf-01;CU-19;US-14;CA-01 a CA-03;Módulo de Recepción (CU-07/CU-08);MU-17;CP-RF-23;"Trazado; prueba diseñada, no ejecutada";Generar reportes financieros;https://medicita1.atlassian.net/browse/SGICM-32
24;RF-24;EV-01;CU-11;US-15;CA-01 a CA-03;Módulo de Recepción (CU-07/CU-08);MU-17;CP-RF-24;Revisar: RFC-02 por fusión inconsistente;Configurar horarios por área;https://medicita1.atlassian.net/browse/SGICM-33
25;RF-25;EV-01;CU-11;US-15;CA-01 a CA-03;Módulo de Recepción (CU-07/CU-08);MU-17;CP-RF-25;Revisar: RFC-02 por fusión inconsistente;Definir cupo máximo por turno;https://medicita1.atlassian.net/browse/SGICM-34
26;RF-26;EV-Enf-01;CU-06;US-16;CA-01 a CA-03;COMP-Enfermeria;MU-18;CP-RF-26;"Trazado; prueba diseñada, no ejecutada";Registrar signos vitales;https://medicita1.atlassian.net/browse/SGICM-35
27;RF-27;EV-Enf-01;CU-07;US-17;CA-01 a CA-03;COMP-Enfermeria;MU-17;CP-RF-27;"Trazado; prueba diseñada, no ejecutada";Buscar paciente por cédula;https://medicita1.atlassian.net/browse/SGICM-36
28;RF-28;EV-Enf-01;CU-07;US-18;CA-01 a CA-03;Módulo de Recepción (CU-07/CU-08);MU-17;CP-RF-28;"Trazado; prueba diseñada, no ejecutada";Registrar datos personales;https://medicita1.atlassian.net/browse/SGICM-37
29;RF-29;EV-Enf-01;CU-20;US-18;CA-01 a CA-02;Módulo de Recepción (CU-07/CU-08);MU-17;CP-RF-29;"Trazado; prueba diseñada, no ejecutada";Registrar menores sin cédula;https://medicita1.atlassian.net/browse/SGICM-38
30;RF-30;EV-Enf-01;CU-10;US-19;CA-01 a CA-03;COMP-Psicologia;MU-14;CP-RF-30;"Trazado; prueba diseñada, no ejecutada";Restringir acceso clínico por rol;https://medicita1.atlassian.net/browse/SGICM-39
31;RF-31;EV-Enf-01;CU-29;US-33;CA-01 a CA-02;COMP-Enfermeria;MU-19;CP-RF-31;Revisar: RFC-02 por fusión inconsistente;Alertar stock bajo y caducidad;https://medicita1.atlassian.net/browse/SGICM-40
32;RF-32;EV-Enf-01;CU-30;US-34;CA-01 a CA-02;COMP-Enfermeria;MU-19;CP-RF-32;Revisar: RFC-02 por fusión inconsistente;Registrar entrega trazable de medicamentos;https://medicita1.atlassian.net/browse/SGICM-41
33;RF-33;EV-Enf-01;CU-08;US-20;CA-01 a CA-03;Módulo de Recepción (CU-07/CU-08);MU-17;CP-RF-33;Revisar: RFC-02 por fusión inconsistente;Registrar cobro por área;https://medicita1.atlassian.net/browse/SGICM-42
34;RF-34;EV-Enf-01;CU-08;US-21;CA-01 a CA-03;Módulo de Recepción (CU-07/CU-08);MU-17;CP-RF-34;"Trazado; prueba diseñada, no ejecutada";Asignar turno automáticamente;https://medicita1.atlassian.net/browse/SGICM-43
35;RF-35;EV-Enf-01;CU-09;US-19;CA-01 a CA-03;COMP-Enfermeria;MU-20;CP-RF-35;"Trazado; prueba diseñada, no ejecutada";Derivar paciente entre áreas;https://medicita1.atlassian.net/browse/SGICM-44
36;RF-36;EV-Enf-01;CU-01;US-01;CA-01 a CA-04;COMP-TerapiaFisica;MU-26;CP-RF-36;"Trazado; prueba diseñada, no ejecutada";Agendar citas por área;https://medicita1.atlassian.net/browse/SGICM-45
37;RF-37;EV-Enf-01;CU-21;US-23;CA-01 a CA-02;COMP-TerapiaFisica;MU-28;CP-RF-37;"Trazado; prueba diseñada, no ejecutada";Reprogramar o cancelar citas por área;https://medicita1.atlassian.net/browse/SGICM-46
38;RF-38;EV-Enf-01;CU-07;US-22;CA-01 a CA-03;Módulo de Recepción (CU-07/CU-08);MU-17;CP-RF-38;"Trazado; prueba diseñada, no ejecutada";Consultar rápidamente paciente registrado;https://medicita1.atlassian.net/browse/SGICM-47
39;RF-39;EV-01;CU-23 / CU-24 / CU-25 / CU-26;US-24 a US-27;CA-01 a CA-02;COMP-MedicoGeneral;MU-03 / MU-05;CP-RF-39;"Trazado; prueba diseñada, no ejecutada";Registrar atención clínica integral;https://medicita1.atlassian.net/browse/SGICM-48
40;RF-40;EV-01 / EV-Enf-01;CU-27 / CU-28;US-28 / US-29;CA-01 a CA-02;Módulo Nutrición / COMP-TerapiaFisica;MU-15 / MU-26;CP-RF-40;"Trazado; prueba diseñada, no ejecutada";Registrar plan nutricional o sesión de terapia;https://medicita1.atlassian.net/browse/SGICM-49
41;RNF-01;"ERS v3.1, §3.4; ISO/IEC 25010";CU-02;US-02;Historial ≤ 2 s en 95 % con hasta 50 usuarios;COMP-MedicoGeneral;MU-03;CP-RNF-01;"Trazado; prueba diseñada, no ejecutada";Eficiencia de consultas de historial;https://medicita1.atlassian.net/browse/SGICM-50
42;RNF-02;"ERS v3.1, §3.4; LOPDP";CU-12 / CU-13;US-07 / US-08;TLS 1.2+, AES-256 y pruebas de penetración;Servicio de seguridad;No requiere interfaz: cifrado y control de acceso;CP-RNF-02;"Trazado; prueba diseñada, no ejecutada";Confidencialidad de datos;https://medicita1.atlassian.net/browse/SGICM-51
43;RNF-03;"ERS v3.1, §3.4; ISO/IEC 25010";CU-01 / CU-02;US-01 / US-02;Finalización ≥ 90 % y SUS ≥ 75;Diseño UI transversal;MU-01 / MU-03;CP-RNF-03;"Trazado; prueba diseñada, no ejecutada";Usabilidad general;https://medicita1.atlassian.net/browse/SGICM-52
44;RNF-04;"ERS v3.1, §3.4; ISO/IEC 25010";No aplica: disponibilidad operacional;No aplica: requisito transversal;Disponibilidad ≥ 99 % y MTTR ≤ 30 min;Infraestructura y monitoreo;No requiere interfaz: operación de infraestructura;CP-RNF-04;"Trazado; prueba diseñada, no ejecutada";Disponibilidad en horario de atención;https://medicita1.atlassian.net/browse/SGICM-53
45;RNF-05;"ERS v3.1, §3.4; ISO/IEC 25010";No aplica: arquitectura interna;No aplica: requisito transversal;Cobertura automatizada ≥ 70 % y arquitectura por capas;Arquitectura por capas;No requiere interfaz: mantenibilidad interna;CP-RNF-05;"Trazado; prueba diseñada, no ejecutada";Mantenibilidad y extensibilidad;https://medicita1.atlassian.net/browse/SGICM-54
46;RNF-06;"ERS v3.1, §3.4; LOPDP";CU-10 / CU-12 / CU-13;US-07 / US-19;100 % de accesos no autorizados rechazados y auditados;Servicio de seguridad / auditoría;No requiere interfaz: política de autorización;CP-RNF-06;"Trazado; prueba diseñada, no ejecutada";Control de acceso clínico;https://medicita1.atlassian.net/browse/SGICM-55
